Water Pollution Search Results,,,,,,,,,,,,,,,,,,,,,,
Search Criteria: Year = 2019; HUC Code = 18060010,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Data Source,NPDES Permit Number,FRS ID,Facility Name,City,County,State,HUC 12 Code,Watershed Name,SIC Code,Facility Latitude,Facility Longitude,Pollutant Name,Substance Registry System ID,CAS Number,Average Daily Flow (MGD),Major/Non-Major Status,Contains Potential Outliers?,Total Pounds (lb/yr),Total Kilograms (kg/yr),Total TWPE (lb-eq/yr),Total TWPE (kg-eq/yr),Link to DFR
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Di-n-octyl phthalate,29967,117840,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Methylene chloride,5306,75092,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Tribromomethane,5447,75252,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,o-Nitrophenol,12005,88755,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,.alpha.-Endosulfan,75333,959988,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,"1,2,4-Trichlorobenzene",31435,120821,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,"1,3-Dichloropropene",52449,542756,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",91918,1746016,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,"2,4,6-Trichlorophenol",11536,88062,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,"2,6-Dinitrotoluene",58875,606202,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,2-Chloronaphthalene,13532,91587,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Acrolein,24075,107028,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Aldrin,42002,309002,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Aroclor 1232,173583,11141165,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Aroclor 1254,173047,11097691,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Arsenic,149989,7440382,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Benzene,4754,71432,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
